,TITLE,ORCHESTRA,SINGER,STYLE,DATE,COMPOSER,AUTHOR,SOLOIST,DIRECTOR
3199,A media luz,Edgardo DONATO,Andrés Galarce,TANGO,1961-11-01,Edgardo Donato,Carlos Lenzi,,
3200,El huracán,Edgardo DONATO,Andrés Galarce,TANGO,1961-11-01,Osvaldo Donato y Edgardo Donato,Nolo López,,
3201,Se va la vida,Edgardo DONATO,Andrés Galarce,TANGO,1961-11-01,Edgardo Donato,María Luisa Carnelli,,
3202,TBC,Edgardo DONATO,Andrés Galarce,TANGO,1961-11-01,Ascanio Donato,Víctor Soliño y Roberto Fontaina,,
3203,La trilla,Enrique FRANCINI,,TANGO,1955-11-03,Eduardo Arolas,,,
3204,Petit salón,Enrique FRANCINI,Alberto Podestá,TANGO,1955-11-03,Vicente Demarco,Silvio Marinucc,,
3205,Bailemos,Enrique FRANCINI,Alberto Podestá,TANGO,1955-12-13,Pascual Mamone,Reinaldo Yiso,,
3206,Sensiblero,Enrique FRANCINI,,TANGO,1955-12-13,Julián Plaza,,,
3207,Alguien,Enrique FRANCINI,Alberto Podestá,TANGO,1956-01-19,Héctor Stamponi,Eugenio Majul,,
3208,El resero,Enrique FRANCINI,,TANGO,1956-01-19,Raimundo Petillo,,,
3209,Inspiración,Enrique FRANCINI,,TANGO,1956-01-19,Peregrino Paulos,Luis Rubistein,,
3210,Las rosas de mi madre,Enrique FRANCINI,Alberto Podestá,VALS,1956-01-19,Enrique Francini,María Ester M. de Carnevale,,
3211,El gurí,Enrique FRANCINI,,TANGO,1956-03-07,Julio Ahumada,,,
3212,Un tango para el recuerdo,Enrique FRANCINI,Alberto Podestá,TANGO,1956-03-07,Rafael del Bagno,Antonio Cantó,,
3213,Elegante papirusa,Enrique FRANCINI,,TANGO,1956-07-27,Tito Roccatagliata,,,
3214,Es hora de vivir,Enrique FRANCINI,Alberto Podestá,TANGO,1956-07-27,Enrique Francini,Carlos Bahr,,
3215,Fueron tres años,Enrique FRANCINI,Alberto Podestá,TANGO,1956-07-27,Juan Pablo Marín,Juan Pablo Marín,,
3216,Tamborilera,Enrique FRANCINI,,MILONGA,1956-07-27,Juan José Paz,,,
3217,Muriéndome de amor,Enrique FRANCINI,Julia Vidal,TANGO,1956-11-14,Manuel Sucher,Carlos Bahr,,
3218,Tema otoñal,Enrique FRANCINI,,TANGO,1956-11-14,Enrique Francini,,,
3219,La miel de tu boquita,Enrique FRANCINI,Julia Vidal,VALS,1956-12-20,Ángel Cabral,Enrique Dizeo,,
3220,Quedémonos aquí,Enrique FRANCINI,Carlos Ferrán,TANGO,1956-12-20,Héctor Stamponi,Homero Expósito,,
3221,Destino de flor,Enrique FRANCINI,Roberto Rufino,TANGO,1957-04-03,Roberto Rufino,Alejandro Romay,,
3222,Espérame en el cielo,Enrique FRANCINI,Roberto Rufino,TANGO,1957-04-03,Paquito López Vidal,Paquito López Vidal,,
3223,Melodia oriental,Enrique FRANCINI,Roberto Rufino,TANGO,1957-04-03,Juan Carlos Howard y Roberto Zerrillo,Enrique Cadícamo,,
3224,Cabulero,Enrique FRANCINI,,TANGO,1957-09-18,Leopoldo Federico,Manuel Ceferino Flores,,
3225,Mientras viva,Enrique FRANCINI,Carlos Ferrán,TANGO,1957-09-18,Lucio Demare,Eugenio Majul,,
3226,Bailonga,Enrique FRANCINI,,MILONGA,1958-03-14,Mariano Mores,,,
3227,Qué me importa tu pasado,Enrique FRANCINI,Oscar Gallardo,TANGO,1958-03-14,Manuel Sucher,Roberto Giménez,,
3228,Bebiendo contigo,Enrique FRANCINI,Oscar Gallardo,TANGO,1959-06-12,Enrique Francini,Carlos Bahr,,
3229,Danzarín,Enrique FRANCINI,,TANGO,1959-06-12,Julián Plaza,,,
3230,La calesita se destrozó,Enrique RODRIGUEZ,Roberto Flores,FOXTROT,1937-11-10,Cliff Friend y Dave Franklin,Antonio Bernárdez,,
3231,Ritmo de juventud,Enrique RODRIGUEZ,Roberto Flores,PASODOBLE MARCHA,1937-11-10,?,?,,
3232,Clavelito en flor,Enrique RODRIGUEZ,Roberto Flores,VALS,1937-11-18,Enrique Rodríguez,José María Casais,,
3233,Mi muñequita,Enrique RODRIGUEZ,Roberto Flores,TANGO,1937-11-18,Enrique Rodríguez,Alfredo Bigeschi,,
3234,Jalisco nunca pierde,Enrique RODRIGUEZ,Roberto Flores,PASODOBLE,1938-02-21,?,?,,
3235,Que lejos que estoy,Enrique RODRIGUEZ,Roberto Flores,VALS,1938-02-21,Angel Del Valle,,,
3236,Dejame ser así,Enrique RODRIGUEZ,Roberto Flores,TANGO,1938-03-23,Enrique Rodríguez,Francisco Gorrindo,,
3237,La colegiala,Enrique RODRIGUEZ,Roberto Flores,FOXTROT,1938-03-23,Antonio Matas,Valentín González,,
3238,La maja aristocratica,Enrique RODRIGUEZ,Roberto Flores,VALS,1938-05-21,,,,
3239,Para mi eres divina,Enrique RODRIGUEZ,Roberto Flores,FOXTROT,1938-05-23,Sholom Secunda,Jacob Jacobs,,
3240,Pues quien lo tiene,Enrique RODRIGUEZ,Roberto Flores,RANCHERA,1938-05-23,?,?,,
3241,A la huacachina,Enrique RODRIGUEZ,Roberto Flores,PASODOBLE,1938-06-27,Francisco Pérez Anampa,Carlos Saco Herrera,,
3242,Siempre fiel,Enrique RODRIGUEZ,,VALS CLASICO,1938-06-27,?,?,,
3243,Mi verdad,Enrique RODRIGUEZ,Roberto Flores,TANGO,1938-08-18,Enrique Rodríguez,Arsenio Mármol,,
3244,Me encanta silbar,Enrique RODRIGUEZ,Roberto Flores,FOXTROT,1938-09-21,?,?,,
3245,Oh mama,Enrique RODRIGUEZ,Roberto Flores,PASODOBLE,1938-09-21,?,?,,
3246,Las espigadoras,Enrique RODRIGUEZ,Roberto Flores,VALS,1938-12-27,Jacinto Guerrero Torres,?,,
3247,Vendrás alguna vez,Enrique RODRIGUEZ,Roberto Flores,TANGO,1938-12-27,Alfredo Malerba,Luis César Amadori,,
3248,Los piconeros,Enrique RODRIGUEZ,Roberto Flores,VALS,1939-02-01,Ramón Perelló,Juan Mostazo,,
3249,Te quiero ver escopeta,Enrique RODRIGUEZ,Roberto Flores,TANGO,1939-02-01,Enrique Rodríguez,Alfredo Bigeschi,,
3250,Jarangon,Enrique RODRIGUEZ,Roberto Flores,MARCHA,1939-02-24,?,?,,
3251,Son cosas del bandoneon,Enrique RODRIGUEZ,Roberto Flores,TANGO,1939-02-24,Enrique Rodríguez,Enrique Cadícamo,,
3252,Mosterio,Enrique RODRIGUEZ,Roberto Flores,TANGO,1939-05-27,Alberto Gambino,Fortunato Benzaquen,,
3253,A-Tisket A-Tasket,Enrique RODRIGUEZ,Roberto Flores,FOXTROT,1939-06-05,Ella Fitzgerald y Al Feldman,Ella Fitzgerald y Al Feldman,,
3254,Encantador de serpientes,Enrique RODRIGUEZ,Roberto Flores,FOXTROT,1939-06-05,?,?,,
3255,Frou frou (fru fru),Enrique RODRIGUEZ,Roberto Flores,VALS,1939-06-05,Henri Jacques Chatau,Homero Manzi,,
3256,Un copetín,Enrique RODRIGUEZ,Roberto Flores,TANGO,1939-06-05,Juan Maglio,José Fernández,,
3257,"Salud, dinero y amor",Enrique RODRIGUEZ,Roberto Flores,VALS,1939-07-25,Rodolfo Sciammarella,Rodolfo Sciammarella,,
3258,Con permiso señorita,Enrique RODRIGUEZ,Roberto Flores,TANGO,1939-10-10,Enrique Rodríguez,Venancio Clauso,,
3259,Tengo mil novias,Enrique RODRIGUEZ,Roberto Flores,VALS,1939-10-10,Enrique Rodríguez,Enrique Cadícamo,,
3260,Bombolo,Enrique RODRIGUEZ,Roberto Flores,PASODOBLE,1939-12-18,?,?,,
3261,Si no me engaña el corazón,Enrique RODRIGUEZ,Roberto Flores,TANGO,1939-12-18,Mauricio Misé,Carlos Bahr,,
3262,Ay catalina,Enrique RODRIGUEZ,Armando Moreno,PASODOBLE,1940-03-15,?,?,,
3263,No te quiero más,Enrique RODRIGUEZ,Armando Moreno,TANGO,1940-03-15,Juan Baüer,Juan Baüer,,
3264,Los años no curan penas,Enrique RODRIGUEZ,Armando Moreno,MILONGA,1940-04-30,Enrique Rodríguez,Héctor Edmundo Tallón,,
3265,No le creas,Enrique RODRIGUEZ,Armando Moreno,TANGO,1940-04-30,Enrique Rodríguez,Juan Bergerot,,
3266,En la buena y en la mala,Enrique RODRIGUEZ,Armando Moreno,TANGO,1940-06-04,Enrique Rodríguez,Enrique Cadícamo,,
3267,Por aquí por allá,Enrique RODRIGUEZ,Armando Moreno,VALS,1940-06-04,Enrique Rodríguez,Enrique Cadícamo,,
3268,Concierto en el parque,Enrique RODRIGUEZ,Armando Moreno,FOXTROT,1940-06-11,?,?,,
3269,La higuera,Enrique RODRIGUEZ,Armando Moreno,CORRIDO,1940-06-11,?,?,,
3270,Que puntada,Enrique RODRIGUEZ,Armando Moreno,CORRIDO,1940-06-11,Antonio Escobar,Antonio Escobar,,
3271,Danza maligna,Enrique RODRIGUEZ,Armando Moreno,TANGO,1940-07-31,Fernando Randle,Claudio Frollo,,
3272,Contigo pan y cebolla,Enrique RODRIGUEZ,Armando Moreno,TANGO,1940-08-13,Enrique Rodríguez,Alfredo Bigeschi,,
3273,Isabelita,Enrique RODRIGUEZ,Armando Moreno,VALS,1940-08-13,Rodolfo Sciammarella,Manuel Romero,,
3274,Cómo se pianta la vida,Enrique RODRIGUEZ,Armando Moreno,TANGO,1940-08-20,Carlos Viván,Carlos Viván,,
3275,Falsa moneda,Enrique RODRIGUEZ,Armando Moreno,PASODOBLE,1940-08-20,?,?,,
3276,Amor en Budapest,Enrique RODRIGUEZ,Armando Moreno,FOXTROT,1940-11-08,Erdelyi Mihaly,Alberto Novarro,,
3277,A media luz,Enrique RODRIGUEZ,Armando Moreno,TANGO,1940-11-20,Edgardo Donato,Carlos Lenzi,,
3278,Atención y disparar,Enrique RODRIGUEZ,Armando Moreno,CORRIDO,1940-12-13,?,?,,
3279,Maria (2),Enrique RODRIGUEZ,Armando Moreno,PASODOBLE,1940-12-13,?,?,,
3280,Al mal tiempo buena cara,Enrique RODRIGUEZ,Armando Moreno,TANGO,1940-12-18,Enrique Rodríguez,Ivo Pelay,,
3281,La torcacita,Enrique RODRIGUEZ,,TANGO,1940-12-18,José Martínez,José Martínez,,
3282,Nyanzas y malevos (Barrio de guapos),Enrique RODRIGUEZ,Armando Moreno,TANGO,1941-03-20,Pintín Castellanos,Pintín Castellanos,,
3283,Esto es puro compas,Enrique RODRIGUEZ,Armando Moreno,TANGO,1941-05-12,Ricardo Malerba,Enrique Cadícamo,,
3284,No se haga mala sangre,Enrique RODRIGUEZ,Armando Moreno,POLCA,1941-05-26,?,?,,
3285,Tabernero (El tabernero),Enrique RODRIGUEZ,Armando Moreno,TANGO,1941-05-26,Fausto Frontera y Miguel Cafre,Raúl Costa Oliveri,,
3286,La gayola,Enrique RODRIGUEZ,Armando Moreno,TANGO,1941-06-09,Rafael Tuegols,Armando Tagini,,
3287,Por mis trabucos,Enrique RODRIGUEZ,Armando Moreno,CORRIDO,1941-06-09,José Bohr,José Bohr,,
3288,Cantar gitano,Enrique RODRIGUEZ,Armando Moreno,FOXTROT,1941-07-15,?,?,,
3289,Florida,Enrique RODRIGUEZ,,TANGO,1941-07-23,Raimundo Petillo,Antonio Polito,,
3290,Llorar por una mujer,Enrique RODRIGUEZ,Armando Moreno,TANGO,1941-07-23,Enrique Rodríguez,Enrique Cadícamo,,
3291,Todo va bien,Enrique RODRIGUEZ,Armando Moreno,POLCA PASODOBLE,1941-08-07,?,?,,
3292,Con tu mirar,Enrique RODRIGUEZ,Armando Moreno,VALS,1941-09-24,Eusebio Severo Giorno,Norberto Canosa,,
3293,Jueves,Enrique RODRIGUEZ,,TANGO,1941-09-24,Udelino Toranzo y Rafael Rossi,,,
3294,Hice el testamiento,Enrique RODRIGUEZ,Armando Moreno,CORRIDO,1941-10-24,?,?,,
3295,Suerte loca,Enrique RODRIGUEZ,Armando Moreno,TANGO,1941-10-24,Anselmo Aieta,Francisco García Jiménez,,
3296,"Chunga que no, chunga que si",Enrique RODRIGUEZ,Armando Moreno,MILONGA,1941-11-26,Eusebio Severo Giorno,Arsenio Mármol,,
3297,El morochito,Enrique RODRIGUEZ,,TANGO,1941-12-19,Vicente Greco,Gerónimo Gradito,,
3298,El huérfano,Enrique RODRIGUEZ,Armando Moreno,TANGO,1942-01-20,Anselmo Aieta,Francisco García Jiménez,,
3299,Clavelito chino,Enrique RODRIGUEZ,Armando Moreno,CORRIDO,1942-02-13,?,?,,
3300,Noches de Hungria,Enrique RODRIGUEZ,Armando Moreno,FOXTROT,1942-03-03,?,?,,
3301,Cancion del soltero,Enrique RODRIGUEZ,Armando Moreno,VALS,1942-03-10,Roberto Nievas Blanco,Julio Jorge Nelson,,
3302,Un tropezón,Enrique RODRIGUEZ,Armando Moreno,TANGO,1942-03-31,Raúl De los Hoyos,Luis Bayón Herrera,,
3303,El tilín tilín (el calderero),Enrique RODRIGUEZ,Armando Moreno,PASODOBLE,1942-04-24,Benito Ulecia Collado,Hermenegildo Montes Rayo,,
3304,Los gitanitos,Enrique RODRIGUEZ,Armando Moreno,VALS,1942-05-13,José María Palomo Jimenez,Francisco Reyes Velasco,,
3305,Yo no sé por qué razón,Enrique RODRIGUEZ,Armando Moreno,TANGO,1942-05-13,Carlos Pampillón,Luis Castiñeira,,
3306,Parecito faraon,Enrique RODRIGUEZ,Armando Moreno,PASODOBLE,1942-06-10,?,?,,
3307,Contando las estrellas,Enrique RODRIGUEZ,Armando Moreno,FOXTROT,1942-07-30,?,?,,
3308,Expresión campera,Enrique RODRIGUEZ,,TANGO,1942-07-30,José Martínez,José Martínez,,
3309,"Diarios, revistas... señor",Enrique RODRIGUEZ,Armando Moreno,TANGO,1942-09-11,Enrique Rodríguez,Héctor Marcó,,
3310,Tango argentino,Enrique RODRIGUEZ,Armando Moreno,TANGO,1942-09-11,Juan Maglio,Alfredo Bigeschi,,
3311,La viudita de la esquina,Enrique RODRIGUEZ,Armando Moreno,CORRIDO,1942-09-17,?,?,,
3312,El encopao,Enrique RODRIGUEZ,Armando Moreno,TANGO,1942-10-22,Osvaldo Pugliese,Enrique Dizeo,,
3313,Suavemente (2),Enrique RODRIGUEZ,Armando Moreno,FOXTROT,1942-10-22,Alberto Soifer,Hugo Zamora,,
3314,Como has cambiado pebeta,Enrique RODRIGUEZ,Armando Moreno,TANGO,1942-11-19,Enrique Rodríguez,Rogelio Cordone y Carlos Goicoechea,,
3315,Se va el tren,Enrique RODRIGUEZ,Armando Moreno,FOXTROT,1942-11-19,?,?,,
3316,Mirame de frente,Enrique RODRIGUEZ,Armando Moreno,TANGO,1942-12-03,Julián Ortiz,Carlos Fontana,,
3317,Que casualidad,Enrique RODRIGUEZ,Armando Moreno,CORRIDO,1942-12-03,?,?,,
3318,Solita y sola,Enrique RODRIGUEZ,Armando Moreno,VALS,1942-12-03,Roberto Nievas Blanco,Julio Jorge Nelson,,
3319,Yo tambien tuve un carino,Enrique RODRIGUEZ,Armando Moreno,TANGO,1942-12-03,Enrique Rodríguez,Enrique Cadícamo,,
3320,Marinero,Enrique RODRIGUEZ,Armando Moreno,TANGO,1943-02-08,Enrique Rodríguez,Enrique Cadícamo,,
3321,Mujeres feas,Enrique RODRIGUEZ,Armando Moreno,FOXTROT,1943-02-08,?,?,,
3322,Aquel silbido,Enrique RODRIGUEZ,Armando Moreno,TANGO,1943-02-18,Jorge Elizalde,Mario Batistella,,
3323,El tucu tun,Enrique RODRIGUEZ,Armando Moreno,CANDOMBE,1943-02-18,?,?,,
3324,Adios para siempre,Enrique RODRIGUEZ,Armando Moreno,TANGO,1943-04-16,José María Rizzuti,Nolo López,,
3325,La rumbita candombé,Enrique RODRIGUEZ,Armando Moreno,MILONGA CANDOMBE,1943-04-16,Osvaldo Novarro y Tito Luar,Mario Batistella,,
3326,Mi barco velero,Enrique RODRIGUEZ,Armando Moreno,FOXTROT,1943-05-14,?,?,,
3327,Mi piba,Enrique RODRIGUEZ,Armando Moreno,TANGO,1943-05-14,Rodolfo Sciammarella,Manuel Romero,,
3328,Yo busco una novia,Enrique RODRIGUEZ,Armando Moreno,FOXTROT,1943-05-21,?,?,,
3329,No te mires en el rio,Enrique RODRIGUEZ,Armando Moreno,VALS,1943-05-28,Rafael de León,M. López Quiroga,,
3330,Que lento corre el tren,Enrique RODRIGUEZ,Armando Moreno,TANGO,1943-06-10,Alfredo De Angelis,Carmelo Volpe,,
3331,Por eso canto yo,Enrique RODRIGUEZ,Armando Moreno,TANGO,1943-07-02,Juan Puey,Reinaldo Yiso,,
3332,Que lo sepa el mundo entero,Enrique RODRIGUEZ,Armando Moreno,TANGO,1943-07-02,Enrique Rodríguez,Rodolfo Sciammarella,,
3333,Horas,Enrique RODRIGUEZ,Armando Moreno,TANGO,1943-09-08,Juan Esteban Martínez,María Josefina Vignolo,,
3334,Solo tu,Enrique RODRIGUEZ,Armando Moreno,TANGO,1943-09-08,Pascual Storti,José María Contursi,,
3335,Ya no cantas chingolo (Chingolito),Enrique RODRIGUEZ,Armando Moreno,TANGO,1943-09-20,Antonio Scatasso,Edmundo Bianchi,,
3336,En el volga yo te espero,Enrique RODRIGUEZ,Armando Moreno,VALS,1943-10-15,Juan Sánchez Gorio,Horacio Sanguinetti,,
3337,Brindis,Enrique RODRIGUEZ,Armando Moreno,VALS,1943-11-19,Enrique Rodríguez,Carlos Goicoechea y Rogelio Cordone,,
3338,El boulevard de la desilusion,Enrique RODRIGUEZ,Armando Moreno,FOXTROT,1943-12-12,?,?,,
3339,Iré,Enrique RODRIGUEZ,Armando Moreno,TANGO,1943-12-12,Enrique Rodríguez,Enrique Cadícamo,,
3340,Los muñequitos,Enrique RODRIGUEZ,Armando Moreno,TANGO,1943-12-28,Francisco Pracánico,Oscar Rubens,,
3341,Por las calles de Estambul,Enrique RODRIGUEZ,Armando Moreno,FOXTROT,1944-02-08,?,?,,
3342,Silbando un tango,Enrique RODRIGUEZ,Armando Moreno,TANGO,1944-04-13,Eladio Blanco,Luis Castiñeira,,
3343,Uno que ha sido marino,Enrique RODRIGUEZ,Armando Moreno,VALS,1944-04-13,Enrique Rodríguez,Carlos Alberto Ulloa Díaz,,
3344,Motivo sentimental,Enrique RODRIGUEZ,Armando Moreno,TANGO,1944-06-16,Emilio Brameri,Carlos Bahr,,
3345,Santa Marta,Enrique RODRIGUEZ,Armando Moreno,FOXTROT,1944-06-16,Eugenio Nóbile,Eugenio Nóbile,,
3346,Diez soldaditos,Enrique RODRIGUEZ,Armando Moreno,FOXTROT,1944-07-04,?,?,,
3347,Flor de lis,Enrique RODRIGUEZ,Armando Moreno,TANGO,1944-07-04,Enrique Rodríguez,Horacio Sanguinetti,,
3348,Mantelito blanco,Enrique RODRIGUEZ,Armando Moreno,VALS,1944-07-20,Nicanor Molinare,Nicanor Molinare,,
3349,Rezongando rezongando,Enrique RODRIGUEZ,Armando Moreno,TANGO,1944-07-20,Roberto Garza,Carlos Bahr,,
3350,Norma,Enrique RODRIGUEZ,Armando Moreno,FOXTROT,1944-07-27,?,?,,
3351,La vi llegar,Enrique RODRIGUEZ,Armando Moreno,TANGO,1944-08-25,Enrique Francini,Julián Centeya,,
3352,Ficha personal,Enrique RODRIGUEZ,Armando Moreno,MILONGA,1944-09-21,Antonio Polito,Yaraví,,
3353,Naranjo en flor,Enrique RODRIGUEZ,Armando Moreno,TANGO,1944-09-21,Virgilio Expósito,Homero Expósito,,
3354,Dicen que así soy yo,Enrique RODRIGUEZ,Armando Moreno,TANGO,1944-10-18,Alberto Suárez Villanueva,Evaristo Fratantoni,,
3355,Manos brujas,Enrique RODRIGUEZ,Armando Moreno,FOXTROT,1944-10-25,José María Aguilar,José María Aguilar,,
3356,"Tu, el cielo y tu",Enrique RODRIGUEZ,Armando Moreno,TANGO,1944-11-28,Mario Canaro,Héctor Marcó,,
3357,Vuela vuela palomita,Enrique RODRIGUEZ,Armando Moreno,CORRIDO,1944-11-28,?,?,,
3358,Argentino soy,Enrique RODRIGUEZ,,TANGO,1944-12-27,Enrique Rodríguez,,,
3359,Cuando te hablen del domingo,Enrique RODRIGUEZ,Armando Moreno,MILONGA,1945-01-18,Julián Ortiz,Luis Mejías,,
3360,Luna llena,Enrique RODRIGUEZ,Armando Moreno,TANGO,1945-01-18,Mario Perini,Cátulo Castillo,,
3361,Luna veneciana,Enrique RODRIGUEZ,Armando Moreno,FOXTROT,1945-02-15,?,?,,
3362,Y asi nacio éste tango,Enrique RODRIGUEZ,Armando Moreno,TANGO,1945-02-15,Isaac Garcés,Isusi,,
3363,Mariquita no mires al puerto,Enrique RODRIGUEZ,Armando Moreno,VALS,1945-03-16,Enrique Rodríguez,Carlos Bahr,,
3364,Traje de novia,Enrique RODRIGUEZ,Armando Moreno,TANGO,1945-03-16,Antonio Varela,Mariano de la Torre,,
3365,Adios muchachos,Enrique RODRIGUEZ,Armando Moreno,TANGO,1945-04-27,Julio César Sanders,César Vedani,,
3366,Hagamos nuestra casita,Enrique RODRIGUEZ,Armando Moreno,FOXTROT,1945-04-27,?,?,,
3367,Marcelina,Enrique RODRIGUEZ,Armando Moreno,FOXTROT,1945-05-30,?,?,,
3368,Soledad la de Barracas,Enrique RODRIGUEZ,Armando Moreno,TANGO,1945-05-30,Roberto Garza,Carlos Bahr,,
3369,Yo soy siempre el mismo,Enrique RODRIGUEZ,Armando Moreno,TANGO,1945-06-17,Julio Navarrine,Antonio Ciaccio,,
3370,El niño de las monjas,Enrique RODRIGUEZ,Armando Moreno,PASODOBLE,1945-06-19,Angel Ortiz de Villajos,José Soriano López,,
3371,Cancion del linyera,Enrique RODRIGUEZ,Armando Moreno,FOXTROT,1945-07-11,?,?,,
3372,Cordón de oro,Enrique RODRIGUEZ,,TANGO,1945-07-11,Carlos Posadas,,,
3373,Anselmo Laguna,Enrique RODRIGUEZ,Armando Moreno,TANGO,1945-08-22,Vicente Salerno,Marvil,,
3374,No te apures por dios postillon,Enrique RODRIGUEZ,Armando Moreno,FOXTROT,1945-08-22,?,?,,
3375,Giuseppe el zapatero,Enrique RODRIGUEZ,Armando Moreno,TANGO,1945-09-25,Guillermo Del Ciancio,Guillermo Del Ciancio,,
3376,Llora corazon,Enrique RODRIGUEZ,Armando Moreno,VALS,1945-09-25,Horacio Pettorossi,Horacio Pettorossi,,
3377,Caballero de la luna,Enrique RODRIGUEZ,Armando Moreno,VALS,1945-10-24,Georges Krier,Georges Krier,,
3378,Tu intimo secreto,Enrique RODRIGUEZ,Armando Moreno,TANGO,1945-10-24,Graciano Gómez,Héctor Marcó,,
3379,Este es tu tango,Enrique RODRIGUEZ,Armando Moreno,TANGO,1945-11-29,Enrique Mora,Reinaldo Yiso,,
3380,Mis harapos,Enrique RODRIGUEZ,Armando Moreno,FOXTROT,1945-11-29,?,?,,
3381,Sangre ecuatoriana,Enrique RODRIGUEZ,,PASODOBLE,1945-12-13,?,?,,
3382,El africano,Enrique RODRIGUEZ,,TANGO,1945-12-26,Eduardo Pereyra,Francisco Lío,,
3383,En un pueblito de España,Enrique RODRIGUEZ,Armando Moreno,VALS,1945-12-26,Mabel Wayne,Rogelio Ferreyra,,
3384,Café,Enrique RODRIGUEZ,Armando Moreno,TANGO,1946-01-09,Enrique Rodríguez,Rafael Tuegols,,
3385,La carta perdida,Enrique RODRIGUEZ,Armando Moreno,TANGO,1946-01-09,Alfredo Zappettini,Carlos Bahr,,
3386,A las tres de la mañana,Enrique RODRIGUEZ,,VALS CLASICO,1946-03-22,?,?,,
3387,Zorro gris,Enrique RODRIGUEZ,,TANGO,1946-03-22,Rafael Tuegols,Francisco García Jiménez,,
3388,Isabel,Enrique RODRIGUEZ,Ricardo Herrera,FOXTROT,1946-04-25,?,?,,
3389,La casita esta triste,Enrique RODRIGUEZ,Fernando Reyes,TANGO,1946-04-25,Luis Bernstein,José De Grandis,,
3390,Alma en pena,Enrique RODRIGUEZ,Fernando Reyes,TANGO,1946-05-22,Anselmo Aieta,Francisco García Jiménez,,
3391,Devuelveme mi corazón,Enrique RODRIGUEZ,Ricardo Herrera,FOXTROT,1946-07-31,?,?,,
3392,Adiós Pilar,Enrique RODRIGUEZ,Fernando Reyes,PASODOBLE,1946-09-26,?,?,,
3393,Canaro en Paris,Enrique RODRIGUEZ,,TANGO,1946-10-03,Juan Caldarella y Alejandro Scarpino,José Scarpino,,
3394,Alma de Dios,Enrique RODRIGUEZ,Ricardo Herrera,FOXTROT,1946-11-13,?,?,,
3395,Mañana por la mañana,Enrique RODRIGUEZ,Ricardo Herrera,VALS,1947-01-17,Emilio Brameri,Juan García,,
3396,Danza hungara na.5,Enrique RODRIGUEZ,,ARREGLO EN FOXTROT,1947-01-29,?,?,,
3397,Cobardia (2),Enrique RODRIGUEZ,Ricardo Herrera,VALS,1947-05-31,?,?,,
3398,Castañuelas,Enrique RODRIGUEZ,Ricardo Herrera,PASODOBLE,1947-07-11,Arturo Gallucci y Alberto Castillo,Raúl Hormaza,,
3399,Lagrimitas de mi corazon,Enrique RODRIGUEZ,Fernando Reyes,VALS,1947-12-06,Enrique Rodríguez,Enrique Cadícamo,,
3400,Chacarero,Enrique RODRIGUEZ,Ricardo Herrera,PASODOBLE,1948-01-16,?,?,,
3401,El arroyito,Enrique RODRIGUEZ,,TANGO,1948-06-21,Samuel Castriota,Celedonio Flores,,
3402,Oh Paris,Enrique RODRIGUEZ,Ricardo Herrera,FOXTROT,1948-06-21,?,?,,
3403,La buenaventura,Enrique RODRIGUEZ,Ricardo Herrera,PASODOBLE,1949-01-27,?,?,,
3404,Se acabo la mishiadura,Enrique RODRIGUEZ,Ricardo Herrera,TANGO,1950-12-15,Enrique Rodríguez,José Paradizo,,
3405,Jueves,Enrique RODRIGUEZ,,TANGO,1951-04-26,Udelino Toranzo y Rafael Rossi,,,
3406,Langosta,Enrique RODRIGUEZ,Ricardo Herrera,TANGO,1951-04-26,Juan de Dios Filiberto,Juan Andrés Bruno,,
3407,Japonesita,Enrique RODRIGUEZ,Roberto Videla,FOXTROT,1951-06-18,Antonio Bonavena,Antonio Bonavena,,
3408,Hay que entrar (2),Enrique RODRIGUEZ,Armando Moreno,VALS,1951-09-10,Enrique Rodríguez,Enrique Cadícamo,,
3409,Que me sube que me baja,Enrique RODRIGUEZ,Armando Moreno,VALS,1951-09-10,Nicolás Paracino y Juan Salomone,Domingo Sciaraffía,,
3410,Giuseppe el crooner,Enrique RODRIGUEZ,Ricardo Herrera,TANGO,1952-07-11,Enrique Rodríguez,Domingo Sciaraffía,,
3411,Si soy así,Enrique RODRIGUEZ,Ricardo Herrera,TANGO,1952-07-11,Francisco Lomuto,Antonio Botta,,
3412,La cumparsita,Enrique RODRIGUEZ,,TANGO,1953-01-22,Gerardo Matos Rodriguez,Pascual Contursi y Enrique Maroni,,
3413,Pero hay una melena,Enrique RODRIGUEZ,Omar Quirós,FOXTROT,1953-07-13,?,?,,
3414,El rápido,Enrique RODRIGUEZ,,TANGO,1954-03-27,Roberto Firpo,,,
3415,Titina,Enrique RODRIGUEZ,Omar Quirós,FOXTROT,1955-03-11,?,?,,
3416,Soy un pobre presidiario,Enrique RODRIGUEZ,Omar Quirós,PASODOBLE,1955-06-10,?,?,,
3417,Te fuiste ja ja,Enrique RODRIGUEZ,Omar Quirós,TANGO,1955-06-10,Gerardo Matos Rodríguez,Juan Bautista Abad Reyes,,
3418,Royal Pigall (Qué has hecho de mi cariño),Enrique RODRIGUEZ,,TANGO,1955-07-27,Juan Maglio,José González Castillo,,
3419,Esa muchacha,Enrique RODRIGUEZ,Omar Quirós,FOXTROT,1955-12-07,?,?,,
